image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,attenunet_prnu_illum_iou,attenunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou
210,0.966318,0.91467,0.938185,0.936431,0.938714,0.911594,0.9375,0.963735,0.950702,0.915969,0.94208,0.952237
211,0.962737,0.956537,0.968829,0.96822,0.956584,0.943741,0.945235,0.926168,0.960057,0.953497,0.96263,0.945244
212,0.932739,0.915744,0.952073,0.924639,0.901961,0.922922,0.961777,0.922376,0.918845,0.924191,0.957236,0.927254
213,0.954504,0.962625,0.934927,0.95386,0.95924,0.964237,0.909617,0.947534,0.956221,0.964351,0.934492,0.950406
214,0.905686,0.924037,0.908291,0.911133,0.931228,0.929142,0.885724,0.914226,0.91618,0.927778,0.898424,0.921098
215,0.93844,0.954465,0.928724,0.943007,0.959257,0.97434,0.915315,0.958289,0.950513,0.961497,0.93132,0.956352
216,0.946535,0.965832,0.962684,0.950137,0.953815,0.951942,0.957637,0.94645,0.954436,0.967509,0.978146,0.951066
217,0.899963,0.944617,0.841822,0.938696,0.930651,0.959795,0.795652,0.957126,0.914491,0.952325,0.838873,0.9477
218,0.967407,0.968538,0.931366,0.974104,0.967914,0.972549,0.924561,0.950697,0.972053,0.976753,0.928992,0.967201
219,0.961022,0.961681,0.954031,0.975485,0.960081,0.973729,0.948925,0.961109,0.96431,0.973845,0.955749,0.969111
220,0.932064,0.929793,0.95954,0.93353,0.89884,0.913012,0.96336,0.942082,0.915627,0.920479,0.961809,0.9375
221,0.972176,0.967055,0.950842,0.972557,0.975952,0.973342,0.958742,0.968201,0.984848,0.970333,0.954376,0.974325
222,0.947826,0.961862,0.93037,0.948188,0.958035,0.969421,0.934919,0.946247,0.959662,0.965707,0.936463,0.946298
223,0.848697,0.831407,0.838206,0.831807,0.907377,0.787494,0.770202,0.874169,0.880289,0.806331,0.815524,0.849234
224,0.900534,0.945575,0.897626,0.915388,0.923699,0.920852,0.893617,0.864865,0.914683,0.936484,0.906988,0.892262
225,0.952874,0.963771,0.950399,0.942867,0.967696,0.941626,0.967184,0.942877,0.964349,0.960674,0.960743,0.94974
226,0.937083,0.952717,0.928843,0.936067,0.956829,0.953961,0.956194,0.955245,0.959133,0.959402,0.952263,0.952195
227,0.958978,0.920314,0.855727,0.952744,0.968701,0.951693,0.800303,0.923222,0.964258,0.936934,0.850224,0.939796
228,0.96327,0.968852,0.958069,0.977601,0.962305,0.971929,0.951672,0.96221,0.964919,0.974891,0.969479,0.971634
229,0.958455,0.937345,0.942118,0.940671,0.960343,0.935208,0.945319,0.959006,0.96613,0.939145,0.949503,0.956989
230,0.963743,0.962056,0.909873,0.966586,0.945059,0.941909,0.941339,0.943131,0.952644,0.949914,0.930273,0.954311
231,0.971662,0.939108,0.852419,0.947785,0.942782,0.975943,0.880711,0.904882,0.960879,0.958757,0.860835,0.922958
232,0.861538,0.849289,0.867432,0.819563,0.84633,0.864844,0.817684,0.826837,0.854455,0.855403,0.848006,0.823289
233,0.959951,0.948852,0.880179,0.938677,0.948269,0.946881,0.934075,0.926471,0.964286,0.950787,0.904488,0.936451
234,0.940561,0.946302,0.943941,0.933873,0.958812,0.953299,0.949256,0.942451,0.95103,0.950931,0.948701,0.942847
235,0.928927,0.939099,0.882536,0.938298,0.921541,0.952933,0.921128,0.921254,0.926429,0.94659,0.899331,0.936147
236,0.936746,0.902312,0.889897,0.937135,0.902511,0.91354,0.892157,0.926306,0.922197,0.911256,0.89477,0.931914
237,0.949714,0.94568,0.909644,0.950287,0.960204,0.9589,0.908579,0.950287,0.960178,0.951649,0.913968,0.950605
238,0.97482,0.958454,0.963172,0.968605,0.963117,0.971,0.959177,0.958293,0.969903,0.97014,0.960823,0.965291
