image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
214,0.96439,0.96327,0.939399,0.955191,-0.009199,-0.008079,0.015792,
215,0.979205,0.987003,0.955786,0.9787,-0.000505,-0.008303,0.022914,
216,0.976362,0.97538,0.97836,0.972488,-0.003874,-0.002892,-0.005872,
217,0.96408,0.979485,0.886199,0.978093,0.014013,-0.001392,0.091894,
218,0.983696,0.986083,0.960802,0.974725,-0.008971,-0.011358,0.013923,
219,0.979634,0.98669,0.973793,0.980169,0.000535,-0.006521,0.006376,
220,0.946725,0.954528,0.981338,0.970177,0.023452,0.015649,-0.011161,
221,0.98783,0.986491,0.978936,0.983844,-0.003986,-0.002647,0.004908,
222,0.978568,0.984473,0.966365,0.972381,-0.006187,-0.012092,0.006016,
223,0.95144,0.881115,0.870185,0.93286,-0.01858,0.051745,0.062675,
224,0.960336,0.958796,0.94382,0.927536,-0.0328,-0.03126,-0.016284,
225,0.983583,0.969936,0.983318,0.970599,-0.012984,0.000663,-0.012719,
226,0.977939,0.976438,0.977606,0.97711,-0.000829,0.000672,-0.000496,
227,0.984102,0.975248,0.889076,0.960078,-0.024024,-0.01517,0.071002,
228,0.980791,0.985764,0.975237,0.980741,-0.00005,-0.005023,0.005504,
229,0.979771,0.966519,0.971891,0.979074,-0.000697,0.012555,0.007183,
230,0.971753,0.970085,0.969783,0.970733,-0.00102,0.000648,0.00095,
231,0.970549,0.987825,0.936572,0.950066,-0.020483,-0.037759,0.013494,
232,0.91677,0.927524,0.899699,0.905211,-0.011559,-0.022313,0.005512,
233,0.973448,0.972716,0.965914,0.961832,-0.011616,-0.010884,-0.004082,
234,0.978973,0.976091,0.973967,0.970373,-0.0086,-0.005718,-0.003594,
235,0.959169,0.975899,0.958945,0.959013,-0.000156,-0.016886,0.000068,
236,0.948757,0.954817,0.943005,0.961743,0.012986,0.006926,0.018738,
237,0.979698,0.979019,0.9521,0.97451,-0.005188,-0.004509,0.02241,
238,0.981212,0.985287,0.979163,0.978702,-0.00251,-0.006585,-0.000461,
239,0.978647,0.982392,0.976323,0.980738,0.002091,-0.001654,0.004415,
240,0.961415,0.968223,0.937896,0.972524,0.011109,0.004301,0.034628,
241,0.962406,0.971254,0.948003,0.963611,0.001205,-0.007643,0.015608,
242,0.973778,0.958455,0.945705,0.968285,-0.005493,0.00983,0.02258,
243,0.988297,0.982974,0.982794,0.983582,-0.004715,0.000608,0.000788,
244,0.968954,0.977987,0.926531,0.977537,0.008583,-0.00045,0.051006,
245,0.974941,0.97029,0.956784,0.973649,-0.001292,0.003359,0.016865,
246,0.973109,0.966364,0.954471,0.964806,-0.008303,-0.001558,0.010335,
247,0.969757,0.98108,0.938851,0.971281,0.001524,-0.009799,0.03243,
248,0.974955,0.965923,0.947014,0.96059,-0.014365,-0.005333,0.013576,
