image_id,unetpp_prnu_illum_iou,unetpp_prnu_illum_dice,unetpp_prnu_illum_bf_score,unetpp_prnu_freq_iou,unetpp_prnu_freq_dice,unetpp_prnu_freq_bf_score,unetpp_freq_illum_iou,unetpp_freq_illum_dice,unetpp_freq_illum_bf_score,unetpp_all_iou,unetpp_all_dice,unetpp_all_bf_score,notes
388,0.962867,0.981082,1,0.959278,0.979216,1,0.954938,0.976949,1,0.966864,0.983153,1,
389,0.928367,0.962853,0.872706,0.927017,0.962126,0.87766,0.916473,0.956416,0.907609,0.924027,0.960513,0.867777,
390,0.954386,0.976661,0.964285,0.962325,0.980801,1,0.920953,0.95885,0.826059,0.960058,0.979622,1,
391,0.787689,0.881237,0.558924,0.792729,0.884383,0.56962,0.66692,0.800182,0.470479,0.767092,0.868197,0.48967,
392,0.967224,0.983339,1,0.9625,0.980892,0.993377,0.964776,0.982072,1,0.96603,0.982722,1,
393,0.947101,0.972832,1,0.931107,0.964325,0.963113,0.941752,0.970002,0.987805,0.927891,0.962597,0.933404,
394,0.947217,0.972893,0.995515,0.934042,0.965896,0.889135,0.94431,0.971358,0.960095,0.960578,0.979893,1,
395,0.941696,0.969972,0.995157,0.917227,0.956826,0.857875,0.957337,0.978204,1,0.920848,0.958793,0.975546,
396,0.955562,0.977276,0.990243,0.964116,0.98173,1,0.892675,0.943295,0.780617,0.913811,0.954965,0.954357,
397,0.932847,0.965257,0.987132,0.938989,0.968535,0.994885,0.893486,0.943747,0.835448,0.936705,0.967318,0.992327,
398,0.944417,0.971414,0.990652,0.93693,0.967438,0.976687,0.904855,0.950051,0.804778,0.9633,0.981307,1,
399,0.945277,0.971869,1,0.956256,0.977639,0.995238,0.975756,0.987729,1,0.942758,0.970535,0.952602,
400,0.935588,0.966722,0.964402,0.951613,0.975207,0.938288,0.957674,0.978379,1,0.935532,0.966692,1,
401,0.946562,0.972548,0.989418,0.938241,0.968136,0.89387,0.944531,0.971474,1,0.932466,0.965053,0.915478,
402,0.930717,0.964116,0.920806,0.943469,0.970913,0.96895,0.924664,0.960857,0.944321,0.927798,0.962547,0.851135,
403,0.922564,0.959722,0.813389,0.910369,0.953082,0.796355,0.929998,0.963729,0.891278,0.937219,0.967592,0.904066,
404,0,0,0,0,0,0,0,0,0,0,0,0,
405,0.951302,0.975043,1,0.960315,0.979756,1,0.964361,0.981857,1,0.931071,0.964305,0.912612,
406,0.945955,0.972227,1,0.955867,0.977436,1,0.877831,0.934941,0.793016,0.933898,0.965819,0.955914,
407,0.956866,0.977958,1,0.964657,0.982011,1,0.890209,0.941916,0.715736,0.955276,0.977127,0.984771,
408,0.926385,0.961786,0.792651,0.918114,0.957309,0.812406,0.851058,0.919537,0.58666,0.883556,0.938179,0.715242,
409,0.950847,0.974804,1,0.964252,0.981801,1,0.91028,0.953033,0.840545,0.944186,0.971292,1,
410,0.950368,0.974553,0.949897,0.962731,0.981012,1,0.925926,0.961538,0.957442,0.953586,0.976242,1,
411,0.929738,0.96359,0.879077,0.901471,0.948183,0.757228,0.866176,0.92829,0.513365,0.931301,0.964429,0.83745,
412,0.931222,0.964386,0.972641,0,0,0,0.887551,0.940426,0.677463,0.930055,0.96376,0.989011,
413,0.962165,0.980718,1,0.965254,0.98232,1,0.931517,0.964545,0.961714,0.929442,0.963431,0.903846,
414,0.93252,0.965082,1,0.93645,0.967182,1,0.914114,0.95513,0.827948,0.947189,0.972878,1,
415,0.956755,0.9779,0.935401,0.938481,0.968264,0.938722,0.897895,0.946201,0.809412,0.932641,0.965147,0.900254,
416,0.934718,0.966258,0.995048,0.892341,0.943108,0.855804,0.896561,0.94546,0.821982,0.899208,0.946929,0.840876,
417,0.97313,0.986382,1,0.970076,0.984811,1,0.957401,0.978237,1,0.968356,0.983924,1,
418,0.971104,0.98534,1,0.952332,0.975584,1,0.953494,0.976194,1,0.957447,0.978261,1,
419,0.950213,0.974471,1,0.899214,0.946933,0.977593,0.90595,0.950655,0.920835,0.911672,0.953795,0.81658,
420,0.96221,0.980741,1,0.971649,0.985621,1,0.911181,0.953527,0.941792,0.95437,0.976652,1,
421,0.906296,0.950845,0.928197,0.911809,0.95387,0.840642,0.935532,0.966692,1,0.915244,0.955747,0.984614,
422,0.905877,0.950614,0.813949,0.925054,0.961068,0.903769,0.774274,0.872778,0.413302,0.927751,0.962522,0.94822,
423,0.897965,0.94624,0.807119,0.920775,0.958754,0.889238,0.925292,0.961197,0.840068,0.911055,0.953458,0.897917,
424,0.955075,0.977021,1,0.961251,0.980243,1,0.947802,0.973202,1,0.966307,0.982865,1,
425,0.922898,0.959903,0.900732,0.910368,0.953081,0.762801,0.948406,0.97352,1,0.921427,0.959107,0.857462,
426,0.927427,0.962347,0.902326,0.917233,0.95683,0.903379,0.882851,0.937781,0.765346,0.925726,0.961431,0.984575,
427,0.963782,0.981557,1,0.966193,0.982806,1,0.919689,0.958165,0.870932,0.956307,0.977666,1,
428,0.951082,0.974928,1,0.950533,0.974639,1,0.93972,0.968924,1,0.925703,0.961418,1,
429,0.941008,0.969607,0.973741,0.942702,0.970506,0.973799,0.921274,0.959024,0.911269,0.935906,0.966892,0.969761,
430,0.959686,0.979429,0.995526,0.938009,0.968013,0.882391,0.951148,0.974963,1,0.950557,0.974652,1,
431,0.972855,0.986241,1,0.953704,0.976303,1,0.945385,0.971926,1,0.96149,0.980367,1,
432,0.805472,0.892256,0.315225,0.832641,0.908679,0.413614,0.859766,0.924596,0.666954,0.797267,0.887199,0.305926,
433,0.948996,0.973831,0.989333,0.941286,0.969755,0.904762,0.942594,0.970449,1,0.956536,0.977785,0.994722,
434,0.924138,0.960573,0.900103,0.917328,0.956882,0.835508,0.919703,0.958172,0.916665,0.887141,0.940196,0.761765,
435,0.905762,0.950551,0.822069,0.88429,0.938592,0.762436,0.916769,0.956577,0.934086,0.904139,0.949657,0.864126,
436,0.975021,0.987353,1,0.956148,0.977582,1,0.954328,0.97663,1,0.954746,0.976849,1,
437,0.913164,0.954612,0.894231,0.871917,0.931577,0.817189,0.905158,0.950218,0.812695,0.923592,0.960278,0.939536,
438,0.87334,0.932388,0.760714,0.896284,0.945305,0.83945,0.925095,0.96109,0.943395,0.886603,0.939893,0.78341,
439,0.96821,0.983848,1,0.955556,0.977273,1,0.899107,0.946873,0.788842,0.950593,0.974671,0.933647,
440,0.947298,0.972936,1,0.945254,0.971856,1,0.921311,0.959044,0.896088,0.947128,0.972846,1,
441,0.967819,0.983646,1,0.944674,0.97155,0.995226,0.946116,0.972312,0.966346,0.942582,0.970443,0.980676,
442,0.95826,0.978685,1,0.949457,0.974073,1,0.972723,0.986173,1,0.956055,0.977534,1,
443,0.859746,0.924584,0.722001,0.940993,0.969599,0.897519,0.944927,0.971684,0.895143,0.929059,0.963225,0.917124,
444,0.943565,0.970963,0.964503,0.961084,0.980156,1,0.966828,0.983134,1,0.929095,0.963244,0.901639,
445,0.895244,0.944727,0.888379,0.914587,0.955388,0.85123,0.913989,0.955062,0.968195,0.919857,0.958256,0.978095,
446,0.88561,0.939336,0.598628,0.910223,0.953002,0.73726,0.877515,0.934762,0.644052,0.91602,0.95617,0.853241,
447,0.928842,0.963108,0.95992,0.92644,0.961816,0.971245,0.949443,0.974066,1,0.926541,0.96187,0.931952,
448,0.94285,0.970584,1,0.937453,0.967717,0.886692,0.870607,0.930828,0.675075,0.96245,0.980866,1,
449,0.963535,0.981429,1,0.963096,0.981201,1,0.933397,0.965552,0.939443,0.975927,0.987817,1,
450,0.959521,0.979343,1,0.869189,0.930017,0.827261,0.934692,0.966244,0.994413,0.949495,0.974093,1,
451,0.969533,0.984531,1,0.965483,0.982438,1,0.950261,0.974496,1,0.96343,0.981374,1,
452,0.956754,0.977899,0.990577,0.965783,0.982594,1,0.975819,0.987762,1,0.974165,0.986913,1,
453,0.934736,0.966267,0.91784,0.930645,0.964077,0.962734,0.919334,0.957972,0.936042,0.93658,0.967252,0.985184,
454,0.955894,0.977449,0.988155,0.924617,0.960832,0.819534,0.937888,0.967949,1,0.940776,0.969484,1,
455,0.953329,0.976107,0.984251,0.946501,0.972515,1,0.927325,0.962292,1,0.942278,0.970281,0.99479,
456,0.939601,0.96886,0.945262,0.958154,0.97863,1,0.961117,0.980173,1,0.972363,0.985988,1,
457,0.950023,0.974371,0.963759,0.941488,0.969862,0.937259,0.955382,0.977182,0.940978,0.941946,0.970105,0.937099,
458,0.953837,0.976373,0.994652,0.902713,0.948869,0.827567,0.934457,0.966118,0.96774,0.952019,0.97542,1,
459,0.934399,0.966087,0.931817,0.900048,0.947395,0.774202,0.889178,0.941339,0.737382,0.889472,0.941503,0.739694,
460,0.965572,0.982485,1,0.915444,0.955856,0.899717,0.905236,0.950261,0.941191,0.95706,0.978059,1,
461,0.92932,0.963365,0.966912,0.926218,0.961696,0.861525,0.940508,0.969342,1,0.921689,0.959249,0.889226,
462,0.969967,0.984754,1,0.969403,0.984464,1,0.945468,0.97197,1,0.961993,0.980628,1,
463,0.914547,0.955367,0.983144,0.923954,0.960474,0.994381,0.913251,0.954659,0.867086,0.936453,0.967184,1,
464,0.964494,0.981926,1,0.941382,0.969806,0.974682,0.936605,0.967265,1,0.933139,0.965413,0.93876,
465,0.964706,0.982036,1,0.96378,0.981556,1,0.841709,0.914052,0.673465,0.959055,0.9791,1,
466,0.919897,0.958278,0.857868,0.872109,0.931686,0.698492,0.929163,0.963281,0.90147,0.907692,0.951613,0.763283,
467,0.950942,0.974854,1,0.965678,0.982539,1,0.904933,0.950094,0.870663,0.950158,0.974442,1,
468,0.915984,0.95615,0.928739,0.873077,0.932238,0.756668,0.882876,0.937795,0.832861,0.871521,0.931351,0.694927,
469,0.957581,0.978331,1,0.966735,0.983086,1,0.924457,0.960746,0.90404,0.973051,0.986342,1,
470,0.927385,0.962325,0.964773,0.927855,0.962578,0.869292,0.922553,0.959717,0.853078,0.925645,0.961387,0.841664,
471,0.94181,0.970033,0.948841,0.922118,0.959481,0.900442,0.943564,0.970963,1,0.941906,0.970084,0.948456,
472,0.923093,0.960009,0.820064,0.872617,0.931976,0.743528,0.927619,0.962451,0.856471,0.923012,0.959965,0.818966,
473,0.864776,0.927485,0.852068,0.872667,0.932004,0.789087,0.807058,0.893229,0.453231,0.872093,0.931677,0.798355,
474,0.963046,0.981175,1,0.952077,0.97545,0.983871,0.922701,0.959796,0.991643,0.932187,0.964904,1,
475,0.971984,0.985793,1,0.950815,0.974788,1,0.955618,0.977306,1,0.969948,0.984745,1,
476,0.96384,0.981587,1,0.905438,0.950373,0.860104,0.806697,0.893008,0.530612,0.924979,0.961028,0.911315,
477,0.949953,0.974334,0.954898,0.950603,0.974676,0.92253,0.905354,0.950326,0.692055,0.928004,0.962658,0.778622,
478,0.94572,0.972103,0.955749,0.928616,0.962987,0.923889,0.859172,0.924252,0.515458,0.921287,0.959031,0.969162,
479,0.958923,0.979031,1,0.96833,0.98391,1,0.927717,0.962503,0.990195,0.971317,0.98545,1,
480,1,1,1,1,1,1,1,1,1,1,1,1,
481,1,1,1,1,1,1,1,1,1,1,1,1,
482,1,1,1,1,1,1,1,1,1,1,1,1,
483,1,1,1,1,1,1,1,1,1,1,1,1,
484,1,1,1,1,1,1,1,1,1,1,1,1,
485,1,1,1,1,1,1,1,1,1,1,1,1,
486,1,1,1,1,1,1,1,1,1,1,1,1,
487,1,1,1,1,1,1,1,1,1,1,1,1,
488,1,1,1,1,1,1,1,1,1,1,1,1,
489,1,1,1,1,1,1,1,1,1,1,1,1,
490,1,1,1,1,1,1,1,1,1,1,1,1,
491,1,1,1,1,1,1,1,1,1,1,1,1,
492,1,1,1,1,1,1,1,1,1,1,1,1,
493,1,1,1,1,1,1,1,1,1,1,1,1,
494,1,1,1,1,1,1,1,1,1,1,1,1,
495,1,1,1,1,1,1,1,1,1,1,1,1,
496,1,1,1,1,1,1,1,1,1,1,1,1,
497,1,1,1,1,1,1,1,1,1,1,1,1,
498,1,1,1,1,1,1,1,1,1,1,1,1,
499,1,1,1,1,1,1,1,1,1,1,1,1,
500,1,1,1,1,1,1,1,1,1,1,1,1,
501,1,1,1,1,1,1,1,1,1,1,1,1,
502,1,1,1,1,1,1,1,1,1,1,1,1,
503,1,1,1,1,1,1,1,1,1,1,1,1,
504,1,1,1,1,1,1,1,1,1,1,1,1,
505,1,1,1,1,1,1,1,1,1,1,1,1,
506,1,1,1,1,1,1,1,1,1,1,1,1,
507,1,1,1,1,1,1,1,1,1,1,1,1,
508,1,1,1,1,1,1,1,1,1,1,1,1,
509,1,1,1,1,1,1,1,1,1,1,1,1,
510,1,1,1,1,1,1,1,1,1,1,1,1,
511,1,1,1,1,1,1,1,1,1,1,1,1,
512,1,1,1,1,1,1,1,1,1,1,1,1,
513,1,1,1,1,1,1,1,1,1,1,1,1,
514,1,1,1,1,1,1,1,1,1,1,1,1,
515,1,1,1,1,1,1,1,1,1,1,1,1,
516,1,1,1,1,1,1,1,1,1,1,1,1,
517,1,1,1,1,1,1,1,1,1,1,1,1,
518,1,1,1,1,1,1,1,1,1,1,1,1,
519,1,1,1,1,1,1,1,1,1,1,1,1,
520,1,1,1,1,1,1,1,1,1,1,1,1,
521,1,1,1,1,1,1,1,1,1,1,1,1,
522,1,1,1,1,1,1,1,1,1,1,1,1,
523,1,1,1,1,1,1,1,1,1,1,1,1,
524,1,1,1,1,1,1,1,1,1,1,1,1,
525,1,1,1,1,1,1,1,1,1,1,1,1,
526,1,1,1,1,1,1,1,1,1,1,1,1,
527,1,1,1,1,1,1,1,1,1,1,1,1,
528,1,1,1,1,1,1,1,1,1,1,1,1,
529,1,1,1,1,1,1,1,1,1,1,1,1,
530,1,1,1,1,1,1,1,1,1,1,1,1,
531,1,1,1,1,1,1,1,1,1,1,1,1,
