image_id,unetpp_prnu_illum_dice,unetpp_prnu_freq_dice,unetpp_freq_illum_dice,unetpp_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
204,0.978033,0.976053,0.952432,0.982109,0.004076,0.006056,0.029677,
205,0.96336,0.963656,0.941748,0.969237,0.005877,0.005581,0.027489,
206,0.973505,0.976779,0.962599,0.971687,-0.001818,-0.005092,0.009088,
207,0.981939,0.9806,0.955219,0.979538,-0.002401,-0.001062,0.024319,
208,0.972126,0.979211,0.981972,0.986887,0.014761,0.007676,0.004915,
209,0.975176,0.97566,0.965399,0.978615,0.003439,0.002955,0.013216,
210,0.982871,0.955433,0.968107,0.967172,-0.015699,0.011739,-0.000935,
211,0.981015,0.977786,0.984168,0.983853,0.002838,0.006067,-0.000315,
212,0.965199,0.956019,0.975448,0.960844,-0.004355,0.004825,-0.014604,
213,0.976722,0.980957,0.966369,0.976385,-0.000337,-0.004572,0.010016,
214,0.950509,0.960519,0.951942,0.953501,0.002992,-0.007018,0.001559,
215,0.968243,0.976702,0.963045,0.970668,0.002425,-0.006034,0.007623,
216,0.972533,0.982619,0.980987,0.974431,0.001898,-0.008188,-0.006556,
217,0.947348,0.97152,0.914119,0.968379,0.021031,-0.003141,0.05426,
218,0.983433,0.984017,0.964463,0.986882,0.003449,0.002865,0.022419,
219,0.980123,0.980466,0.976475,0.98759,0.007467,0.007124,0.011115,
220,0.964838,0.963619,0.979352,0.965623,0.000785,0.002004,-0.013729,
221,0.985892,0.983252,0.974802,0.986088,0.000196,0.002836,0.011286,
222,0.973214,0.98056,0.963929,0.973405,0.000191,-0.007155,0.009476,
223,0.918157,0.907943,0.911982,0.908182,-0.009975,0.000239,-0.0038,
224,0.947664,0.972026,0.946052,0.955825,0.008161,-0.016201,0.009773,
225,0.975868,0.981551,0.974569,0.970593,-0.005275,-0.010958,-0.003976,
226,0.96752,0.975786,0.963109,0.966978,-0.000542,-0.008808,0.003869,
227,0.97906,0.958504,0.922255,0.9758,-0.00326,0.017296,0.053545,
228,0.981291,0.98418,0.978586,0.988674,0.007383,0.004494,0.010088,
229,0.978787,0.96766,0.970197,0.969429,-0.009358,0.001769,-0.000768,
230,0.981537,0.980661,0.95281,0.983009,0.001472,0.002348,0.030199,
231,0.985627,0.968598,0.92033,0.973193,-0.012434,0.004595,0.052863,
232,0.92562,0.918504,0.92901,0.900835,-0.024785,-0.017669,-0.028175,
233,0.979566,0.973755,0.936272,0.968369,-0.011197,-0.005386,0.032097,
234,0.96937,0.97241,0.971162,0.965806,-0.003564,-0.006604,-0.005356,
235,0.963154,0.968593,0.937604,0.968167,0.005013,-0.000426,0.030563,
236,0.96734,0.948648,0.941741,0.967548,0.000208,0.0189,0.025807,
237,0.974208,0.972082,0.952685,0.97451,0.000302,0.002428,0.021825,
238,0.98725,0.978786,0.98124,0.984052,-0.003198,0.005266,0.002812,
239,0.980036,0.988489,0.980378,0.981997,0.001961,-0.006492,0.001619,
240,0.958992,0.964545,0.93703,0.98685,0.027858,0.022305,0.04982,
241,0.960219,0.96868,0.926254,0.963729,0.00351,-0.004951,0.037475,
242,0.973674,0.963122,0.966901,0.982931,0.009257,0.019809,0.01603,
243,0.984645,0.985086,0.983012,0.984348,-0.000297,-0.000738,0.001336,
244,0.970006,0.973725,0.936982,0.960915,-0.009091,-0.01281,0.023933,
245,0.976211,0.97033,0.966672,0.977456,0.001245,0.007126,0.010784,
246,0.97991,0.965739,0.969166,0.970493,-0.009417,0.004754,0.001327,
247,0.972706,0.981251,0.953554,0.97498,0.002274,-0.006271,0.021426,
248,0.974532,0.972973,0.936705,0.97964,0.005108,0.006667,0.042935,
249,0.981382,0.983228,0.980631,0.981792,0.00041,-0.001436,0.001161,
250,0.98065,0.976347,0.973684,0.96865,-0.012,-0.007697,-0.005034,
251,0.976952,0.972821,0.969492,0.985047,0.008095,0.012226,0.015555,
252,0.980684,0.97561,0.970189,0.964576,-0.016108,-0.011034,-0.005613,
253,0.972797,0.98166,0.975278,0.977939,0.005142,-0.003721,0.002661,
254,0.983094,0.98717,0.952744,0.986386,0.003292,-0.000784,0.033642,
255,0.953059,0.968181,0.969423,0.958457,0.005398,-0.009724,-0.010966,
256,0.975367,0.975511,0.936443,0.970063,-0.005304,-0.005448,0.03362,
257,0.967763,0.956094,0.949437,0.961988,-0.005775,0.005894,0.012551,
258,0.976233,0.969225,0.928231,0.969422,-0.006811,0.000197,0.041191,
259,0.985833,0.983045,0.9265,0.984843,-0.00099,0.001798,0.058343,
260,0.977786,0.973254,0.965418,0.953869,-0.023917,-0.019385,-0.011549,
261,0.975712,0.979599,0.976777,0.972603,-0.003109,-0.006996,-0.004174,
262,0.97561,0.974292,0.954633,0.962919,-0.012691,-0.011373,0.008286,
263,0.961824,0.964909,0.959306,0.96126,-0.000564,-0.003649,0.001954,
264,0.972326,0.977737,0.952212,0.964909,-0.007417,-0.012828,0.012697,
265,0.939653,0.939628,0.947626,0.921593,-0.01806,-0.018035,-0.026033,
266,0.966628,0.96777,0.969948,0.971412,0.004784,0.003642,0.001464,
267,0.967466,0.964014,0.959241,0.965158,-0.002308,0.001144,0.005917,
268,0.964173,0.966505,0.956377,0.96179,-0.002383,-0.004715,0.005413,
269,0.975601,0.971776,0.958449,0.963045,-0.012556,-0.008731,0.004596,
270,0.9858,0.980517,0.966551,0.986587,0.000787,0.00607,0.020036,
271,0.963829,0.960752,0.941302,0.962922,-0.000907,0.00217,0.02162,
272,0.966463,0.96647,0.964534,0.979031,0.012568,0.012561,0.014497,
273,0.983223,0.975432,0.960636,0.989956,0.006733,0.014524,0.02932,
274,0.985336,0.970258,0.981393,0.978942,-0.006394,0.008684,-0.002451,
275,0.958963,0.975429,0.979353,0.963746,0.004783,-0.011683,-0.015607,
276,0.983501,0.985364,0.974619,0.983011,-0.00049,-0.002353,0.008392,
277,0.966252,0.961855,0.954504,0.96006,-0.006192,-0.001795,0.005556,
278,0.977791,0.992087,0.975522,0.988536,0.010745,-0.003551,0.013014,
279,0.979264,0.979746,0.958381,0.972059,-0.007205,-0.007687,0.013678,
280,0.973414,0.964043,0.98071,0.970352,-0.003062,0.006309,-0.010358,
281,0.965317,0.978088,0.970974,0.980569,0.015252,0.002481,0.009595,
282,0.958274,0.978575,0.959817,0.971589,0.013315,-0.006986,0.011772,
283,0.984566,0.986321,0.981573,0.981708,-0.002858,-0.004613,0.000135,
284,0.985113,0.98018,0.968037,0.982411,-0.002702,0.002231,0.014374,
285,0.962178,0.960514,0.968922,0.956333,-0.005845,-0.004181,-0.012589,
286,0.977809,0.97168,0.961419,0.975445,-0.002364,0.003765,0.014026,
287,0.955587,0.974653,0.965727,0.966909,0.011322,-0.007744,0.001182,
288,0.958046,0.962881,0.952913,0.961387,0.003341,-0.001494,0.008474,
289,0.982384,0.984563,0.976364,0.977013,-0.005371,-0.00755,0.000649,
290,0.972767,0.970504,0.969566,0.982683,0.009916,0.012179,0.013117,
291,0.983298,0.978777,0.962104,0.98455,0.001252,0.005773,0.022446,
292,0.964562,0.957547,0.962455,0.958176,-0.006386,0.000629,-0.004279,
293,0.983804,0.989611,0.985483,0.98283,-0.000974,-0.006781,-0.002653,
294,0.965301,0.940488,0.987601,0.964432,-0.000869,0.023944,-0.023169,
295,0.974834,0.974589,0.962995,0.966681,-0.008153,-0.007908,0.003686,
296,0.959274,0.966636,0.954757,0.966931,0.007657,0.000295,0.012174,
297,0.97316,0.982652,0.920852,0.974934,0.001774,-0.007718,0.054082,
298,0.982437,0.977893,0.979592,0.982424,-0.000013,0.004531,0.002832,
299,0.959416,0.979693,0.967413,0.962184,0.002768,-0.017509,-0.005229,
300,0.967842,0.964532,0.966949,0.976422,0.00858,0.01189,0.009473,
301,0.984621,0.98193,0.972508,0.979334,-0.005287,-0.002596,0.006826,
302,0.945888,0.952068,0.944903,0.92583,-0.020058,-0.026238,-0.019073,
303,0.974597,0.975682,0.960802,0.974084,-0.000513,-0.001598,0.013282,
304,0.984214,0.983895,0.968687,0.987068,0.002854,0.003173,0.018381,
305,0.983658,0.982734,0.950009,0.979835,-0.003823,-0.002899,0.029826,
306,0.973954,0.96778,0.965558,0.975428,0.001474,0.007648,0.00987,
307,0.985688,0.986238,0.982014,0.987687,0.001999,0.001449,0.005673,
308,0.98062,0.981112,0.980793,0.979556,-0.001064,-0.001556,-0.001237,
309,0.978549,0.978228,0.93985,0.983051,0.004502,0.004823,0.043201,
310,0.967576,0.971463,0.900542,0.962065,-0.005511,-0.009398,0.061523,
311,0.978517,0.979702,0.95846,0.98236,0.003843,0.002658,0.0239,
312,0.967327,0.966049,0.969106,0.968842,0.001515,0.002793,-0.000264,
313,0.971999,0.976531,0.957413,0.975893,0.003894,-0.000638,0.01848,
314,0.971012,0.96848,0.848986,0.981629,0.010617,0.013149,0.132643,
315,0.969429,0.973458,0.982663,0.986505,0.017076,0.013047,0.003842,
316,0.978391,0.97711,0.973085,0.976852,-0.001539,-0.000258,0.003767,
317,0.982152,0.978208,0.938525,0.985156,0.003004,0.006948,0.046631,
