image_id,proposed_iou,proposed_dice,proposed_bf_score,segformer_iou,segformer_dice,segformer_bf_score,diff_iou,diff_dice,diff_bf_score
156,0.935403,0.966624,1,0.971877,0.985738,1,-0.036474,-0.019114,0
157,0.91016,0.952967,0.95672,0.967395,0.983427,1,-0.057235,-0.03046,-0.04328
158,0.955944,0.977476,1,0.963194,0.981252,1,-0.00725,-0.003776,0
159,0.950018,0.974369,1,0.957864,0.978479,1,-0.007846,-0.00411,0
160,0.927095,0.962168,0.978785,0.977417,0.98858,1,-0.050322,-0.026412,-0.021215
161,0.964434,0.981895,1,0.96989,0.984715,1,-0.005456,-0.00282,0
162,0.960312,0.979754,1,0.976728,0.988227,1,-0.016416,-0.008473,0
163,0.940945,0.969574,1,0.973286,0.986462,1,-0.032341,-0.016888,0
164,0.772499,0.87165,0.289809,0.877773,0.934909,0.641711,-0.105274,-0.063259,-0.351902
165,0.978723,0.989247,1,0.946692,0.972616,1,0.032031,0.016631,0
166,0.95341,0.97615,1,0.969779,0.984657,1,-0.016369,-0.008507,0
167,0.970331,0.984942,1,0.929899,0.963677,0.976114,0.040432,0.021265,0.023886
168,0.930726,0.96412,1,0.971934,0.985767,1,-0.041208,-0.021647,0
169,0.968291,0.98389,1,0.930826,0.964174,0.994505,0.037465,0.019716,0.005495
170,0.95509,0.977029,1,0.960336,0.979767,1,-0.005246,-0.002738,0
171,0.97378,0.986716,1,0.978817,0.989295,1,-0.005037,-0.002579,0
172,0.926012,0.961585,1,0.963718,0.981524,1,-0.037706,-0.019939,0
173,0.934062,0.965907,0.886427,0.97139,0.985487,1,-0.037328,-0.01958,-0.113573
174,0.932558,0.965102,0.994117,0.952623,0.975737,1,-0.020065,-0.010635,-0.005883
175,0.944003,0.971195,0.956489,0.955457,0.977221,1,-0.011454,-0.006026,-0.043511
176,0.932642,0.965147,1,0.964717,0.982042,1,-0.032075,-0.016895,0
177,0.918705,0.95763,0.961845,0,0,0,0.918705,0.95763,0.961845
178,0.937332,0.967652,1,0.979735,0.989764,1,-0.042403,-0.022112,0
179,0.923919,0.960455,1,0.949074,0.973872,1,-0.025155,-0.013417,0
180,0.964363,0.981858,1,0.957621,0.978352,1,0.006742,0.003506,0
181,0.944644,0.971534,1,0.958303,0.978708,1,-0.013659,-0.007174,0
182,0.964768,0.982068,1,0.955147,0.977059,1,0.009621,0.005009,0
183,0.953561,0.976229,1,0.974334,0.987,1,-0.020773,-0.010771,0
184,0.920701,0.958713,1,0.938837,0.968454,1,-0.018136,-0.009741,0
185,0.97619,0.987952,1,0.97862,0.989195,1,-0.00243,-0.001243,0
186,0.975588,0.987643,1,0.980263,0.990033,1,-0.004675,-0.00239,0
187,0.976835,0.988282,1,0.978532,0.98915,1,-0.001697,-0.000868,0
188,0.970418,0.984987,1,0.972203,0.985906,1,-0.001785,-0.000919,0
189,0.976075,0.987893,1,0.969391,0.984458,1,0.006684,0.003435,0
190,0.942496,0.970397,1,0.967844,0.983659,1,-0.025348,-0.013262,0
191,0.959359,0.979258,1,0.967844,0.983659,1,-0.008485,-0.004401,0
192,0.985485,0.992689,1,0.978346,0.989055,1,0.007139,0.003634,0
193,0.928457,0.962901,0.993958,0.958419,0.978768,1,-0.029962,-0.015867,-0.006042
194,0.959158,0.979153,1,0.963438,0.981379,1,-0.00428,-0.002226,0
195,0.955411,0.977197,1,0.925,0.961039,0.975825,0.030411,0.016158,0.024175
196,0.967667,0.983568,1,0.955882,0.977444,1,0.011785,0.006124,0
197,0.950045,0.974383,1,0.979024,0.989401,1,-0.028979,-0.015018,0
198,0.964045,0.981693,1,0.931301,0.964429,0.891103,0.032744,0.017264,0.108897
199,0.969729,0.984632,1,0.968127,0.983806,1,0.001602,0.000826,0
200,0.964663,0.982014,1,0.970192,0.98487,1,-0.005529,-0.002856,0
201,0.969983,0.984763,1,0.978107,0.988932,1,-0.008124,-0.004169,0
202,0.887427,0.940357,0.871963,0.844586,0.915746,0.69959,0.042841,0.024611,0.172373
203,0.933307,0.965503,0.993974,0,0,0,0.933307,0.965503,0.993974
204,0.972014,0.985808,1,0.954237,0.976583,1,0.017777,0.009225,0
205,0.945923,0.97221,1,0.949541,0.974118,1,-0.003618,-0.001908,0
206,0.942899,0.97061,1,0.946064,0.972285,1,-0.003165,-0.001675,0
207,0.955433,0.977208,1,0.956323,0.977674,1,-0.00089,-0.000466,0
208,0.962396,0.980838,1,0.961442,0.980342,1,0.000954,0.000496,0
209,0.946844,0.972696,1,0.963098,0.981202,1,-0.016254,-0.008506,0
210,0.952237,0.975534,1,0,0,0,0.952237,0.975534,1
211,0.945244,0.971851,1,0,0,0,0.945244,0.971851,1
212,0.927254,0.962254,1,0.963205,0.981258,1,-0.035951,-0.019004,0
213,0.950406,0.974572,1,0.983225,0.991541,1,-0.032819,-0.016969,0
214,0.921098,0.958929,0.921348,0.930225,0.963851,0.972129,-0.009127,-0.004922,-0.050781
215,0.956352,0.977689,1,0.970535,0.985047,1,-0.014183,-0.007358,0
216,0.951066,0.974919,1,0.946443,0.972485,1,0.004623,0.002434,0
217,0.9477,0.973148,1,0.957924,0.97851,1,-0.010224,-0.005362,0
218,0.967201,0.983327,1,0.956832,0.97794,1,0.010369,0.005387,0
219,0.969111,0.984313,1,0.979466,0.989627,1,-0.010355,-0.005314,0
220,0.9375,0.967742,1,0.9769,0.988315,1,-0.0394,-0.020573,0
221,0.974325,0.986995,1,0.977319,0.988529,1,-0.002994,-0.001534,0
222,0.946298,0.972408,1,0.942758,0.970536,1,0.00354,0.001872,0
223,0.849234,0.918471,0.773192,0.953463,0.976177,1,-0.104229,-0.057706,-0.226808
224,0.892262,0.943064,0.972968,0.950506,0.974625,1,-0.058244,-0.031561,-0.027032
225,0.94974,0.974222,0.983423,0.947332,0.972954,0.994413,0.002408,0.001268,-0.01099
226,0.952195,0.975512,1,0.965196,0.98229,1,-0.013001,-0.006778,0
227,0.939796,0.968963,0.964911,0.968006,0.983743,1,-0.02821,-0.01478,-0.035089
228,0.971634,0.985613,1,0.95524,0.977108,1,0.016394,0.008505,0
229,0.956989,0.978022,1,0.95915,0.979149,1,-0.002161,-0.001127,0
230,0.954311,0.976622,1,0.980034,0.989917,1,-0.025723,-0.013295,0
231,0.922958,0.959936,1,0.95281,0.975835,1,-0.029852,-0.015899,0
232,0.823289,0.903081,0.526986,0.947034,0.972797,1,-0.123745,-0.069716,-0.473014
233,0.936451,0.967183,1,0.96668,0.983058,1,-0.030229,-0.015875,0
234,0.942847,0.970583,0.972314,0.9676,0.983533,1,-0.024753,-0.01295,-0.027686
235,0.936147,0.967021,0.988472,0.979343,0.989564,1,-0.043196,-0.022543,-0.011528
236,0.931914,0.964757,0.994565,0.962021,0.980643,1,-0.030107,-0.015886,-0.005435
237,0.950605,0.974677,1,0.9713,0.985441,1,-0.020695,-0.010764,0
238,0.965291,0.982339,1,0.963082,0.981194,1,0.002209,0.001145,0
239,0.966168,0.982793,1,0.9794,0.989593,1,-0.013232,-0.0068,0
240,0.961034,0.98013,1,0.974231,0.986947,1,-0.013197,-0.006817,0
241,0.931205,0.964377,1,0.964714,0.98204,1,-0.033509,-0.017663,0
242,0.958894,0.979015,1,0.977185,0.988461,1,-0.018291,-0.009446,0
243,0.970643,0.985103,1,0.982772,0.991311,1,-0.012129,-0.006208,0
244,0.942868,0.970594,1,0.935841,0.966857,0.994267,0.007027,0.003737,0.005733
245,0.954845,0.976901,0.994565,0.967891,0.983684,1,-0.013046,-0.006783,-0.005435
246,0.941075,0.969643,1,0.981818,0.990826,1,-0.040743,-0.021183,0
247,0.947104,0.972834,1,0,0,0,0.947104,0.972834,1
248,0.948548,0.973595,1,0.96377,0.981551,1,-0.015222,-0.007956,0
249,0.968315,0.983902,1,0.94277,0.970542,0.994474,0.025545,0.01336,0.005526
250,0.944444,0.971429,0.9882,0.938136,0.968081,1,0.006308,0.003348,-0.0118
251,0.972727,0.986175,1,0.983624,0.991745,1,-0.010897,-0.00557,0
252,0.930916,0.964222,0.88326,0.977287,0.988513,1,-0.046371,-0.024291,-0.11674
253,0.95904,0.979092,1,0.959957,0.979569,1,-0.000917,-0.000477,0
254,0.972332,0.985972,1,0.975662,0.987681,1,-0.00333,-0.001709,0
255,0.919263,0.957934,0.846992,0.98176,0.990796,1,-0.062497,-0.032862,-0.153008
256,0.934506,0.966145,1,0.953488,0.97619,1,-0.018982,-0.010045,0
257,0.926355,0.96177,1,0.958346,0.97873,1,-0.031991,-0.01696,0
258,0.944444,0.971429,0.9882,0.95954,0.979352,1,-0.015096,-0.007923,-0.0118
259,0.975886,0.987796,1,0.977207,0.988472,1,-0.001321,-0.000676,0
260,0.939215,0.968655,1,0.964611,0.981987,1,-0.025396,-0.013332,0
261,0.94196,0.970113,1,0.971225,0.985403,1,-0.029265,-0.01529,0
262,0.935566,0.966711,0.884156,0.979966,0.989882,1,-0.0444,-0.023171,-0.115844
263,0.937393,0.967685,0.843905,0.963707,0.981518,1,-0.026314,-0.013833,-0.156095
264,0.938478,0.968263,0.977077,0.982746,0.991298,1,-0.044268,-0.023035,-0.022923
265,0.900428,0.947605,0.855366,0.943434,0.970894,1,-0.043006,-0.023289,-0.144634
266,0.93889,0.968482,0.898964,0.951426,0.975109,0.994987,-0.012536,-0.006627,-0.096023
267,0.925642,0.961385,1,0.974089,0.986874,1,-0.048447,-0.025489,0
268,0.961507,0.980376,1,0.957015,0.978036,1,0.004492,0.00234,0
