image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
146,0.958229,0.978669,0.968769,0.984137,0.96904,0.984277,0.940134,0.969144,0.970497,0.985028
147,0.892696,0.943307,0.950368,0.974552,0.948595,0.973619,0.933746,0.965738,0.925766,0.961452
148,0.947556,0.973072,0.949508,0.9741,0.967469,0.983466,0.953247,0.976064,0.933049,0.965365
149,0.952925,0.975895,0.958822,0.978978,0.980274,0.990039,0.906586,0.951005,0.960725,0.979969
150,0.963946,0.981642,0.969636,0.984584,0.982036,0.990937,0.912917,0.954476,0.975149,0.987418
151,0.910507,0.953158,0.971849,0.985723,0.969607,0.984569,0.92376,0.960369,0.969671,0.984602
152,0.963176,0.981243,0.968211,0.983849,0.963719,0.981524,0.964688,0.982027,0.96863,0.984065
153,0.958684,0.978906,0.970964,0.985268,0.938653,0.968356,0.941586,0.969914,0.953887,0.976399
154,0.967835,0.983655,0.982045,0.990941,0.978396,0.98908,0.94414,0.971268,0.977132,0.988434
155,0.944897,0.971668,0.971619,0.985605,0.954841,0.976899,0.934492,0.966137,0.949854,0.974282
156,0.935403,0.966624,0.985556,0.992725,0.975148,0.987418,0.928748,0.963058,0.971877,0.985738
157,0.91016,0.952967,0.968676,0.984089,0.956639,0.977839,0.9261,0.961632,0.967395,0.983427
158,0.955944,0.977476,0.963885,0.98161,0.967855,0.983665,0.953652,0.976276,0.963194,0.981252
159,0.950018,0.974369,0.947426,0.973003,0.941826,0.970042,0.922722,0.959808,0.957864,0.978479
160,0.927095,0.962168,0.972531,0.986074,0.963785,0.981559,0.8624,0.926117,0.977417,0.98858
161,0.964434,0.981895,0.966655,0.983045,0.975938,0.987822,0.949345,0.974014,0.96989,0.984715
162,0.960312,0.979754,0.975347,0.98752,0.964706,0.982036,0.91655,0.956458,0.976728,0.988227
163,0.940945,0.969574,0.954236,0.976582,0.963725,0.981528,0.876195,0.934013,0.973286,0.986462
164,0.772499,0.87165,0.877145,0.934552,0.87275,0.932052,0.722977,0.839219,0.877773,0.934909
165,0.978723,0.989247,0.966855,0.983148,0.965725,0.982564,0.950562,0.974654,0.946692,0.972616
166,0.95341,0.97615,0.970748,0.985157,0.971076,0.985326,0.912489,0.954242,0.969779,0.984657
167,0.970331,0.984942,0.964037,0.981689,0.958157,0.978632,0.920341,0.958518,0.929899,0.963677
168,0.930726,0.96412,0.964531,0.981945,0.965789,0.982597,0.936782,0.967359,0.971934,0.985767
169,0.968291,0.98389,0.968729,0.984116,0.968697,0.9841,0.924579,0.960812,0.930826,0.964174
170,0.95509,0.977029,0.971537,0.985563,0.963927,0.981632,0.883491,0.938142,0.960336,0.979767
171,0.97378,0.986716,0.970972,0.985272,0.973541,0.986593,0.944546,0.971482,0.978817,0.989295
172,0.926012,0.961585,0.978958,0.989367,0.962656,0.980973,0.935529,0.966691,0.963718,0.981524
173,0.934062,0.965907,0.967477,0.98347,0.961973,0.980618,0.920474,0.95859,0.97139,0.985487
174,0.932558,0.965102,0.957221,0.978143,0.957676,0.978381,0.928433,0.962889,0.952623,0.975737
175,0.944003,0.971195,0.983414,0.991638,0.968049,0.983765,0.91012,0.952945,0.955457,0.977221
176,0.932642,0.965147,0.965163,0.982273,0.945699,0.972092,0.938204,0.968117,0.964717,0.982042
177,0.918705,0.95763,0,0,0,0,0.884839,0.938901,0,0
178,0.937332,0.967652,0.96858,0.984039,0.972624,0.986122,0.935471,0.96666,0.979735,0.989764
