image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
150,0.963946,0.981642,0.956159,0.982036,0.990937,1,-0.01809,-0.009295,-0.043841
151,0.910507,0.953158,0.830777,0.969607,0.984569,1,-0.0591,-0.031411,-0.169223
152,0.963176,0.981243,1,0.963719,0.981524,1,-0.000543,-0.000281,0
153,0.958684,0.978906,1,0.938653,0.968356,1,0.020031,0.01055,0
154,0.967835,0.983655,1,0.978396,0.98908,1,-0.010561,-0.005425,0
155,0.944897,0.971668,1,0.954841,0.976899,1,-0.009944,-0.005231,0
156,0.935403,0.966624,1,0.975148,0.987418,1,-0.039745,-0.020794,0
157,0.91016,0.952967,0.95672,0.956639,0.977839,1,-0.046479,-0.024872,-0.04328
158,0.955944,0.977476,1,0.967855,0.983665,1,-0.011911,-0.006189,0
159,0.950018,0.974369,1,0.941826,0.970042,1,0.008192,0.004327,0
160,0.927095,0.962168,0.978785,0.963785,0.981559,1,-0.03669,-0.019391,-0.021215
161,0.964434,0.981895,1,0.975938,0.987822,1,-0.011504,-0.005927,0
162,0.960312,0.979754,1,0.964706,0.982036,1,-0.004394,-0.002282,0
163,0.940945,0.969574,1,0.963725,0.981528,1,-0.02278,-0.011954,0
164,0.772499,0.87165,0.289809,0.87275,0.932052,0.54844,-0.100251,-0.060402,-0.258631
165,0.978723,0.989247,1,0.965725,0.982564,1,0.012998,0.006683,0
166,0.95341,0.97615,1,0.971076,0.985326,1,-0.017666,-0.009176,0
167,0.970331,0.984942,1,0.958157,0.978632,1,0.012174,0.00631,0
168,0.930726,0.96412,1,0.965789,0.982597,1,-0.035063,-0.018477,0
169,0.968291,0.98389,1,0.968697,0.9841,1,-0.000406,-0.00021,0
170,0.95509,0.977029,1,0.963927,0.981632,1,-0.008837,-0.004603,0
171,0.97378,0.986716,1,0.973541,0.986593,1,0.000239,0.000123,0
172,0.926012,0.961585,1,0.962656,0.980973,1,-0.036644,-0.019388,0
173,0.934062,0.965907,0.886427,0.961973,0.980618,1,-0.027911,-0.014711,-0.113573
174,0.932558,0.965102,0.994117,0.957676,0.978381,1,-0.025118,-0.013279,-0.005883
175,0.944003,0.971195,0.956489,0.968049,0.983765,1,-0.024046,-0.01257,-0.043511
176,0.932642,0.965147,1,0.945699,0.972092,1,-0.013057,-0.006945,0
177,0.918705,0.95763,0.961845,0,0,0,0.918705,0.95763,0.961845
178,0.937332,0.967652,1,0.972624,0.986122,1,-0.035292,-0.01847,0
179,0.923919,0.960455,1,0.897494,0.945978,0.852692,0.026425,0.014477,0.147308
180,0.964363,0.981858,1,0.972401,0.986008,1,-0.008038,-0.00415,0
181,0.944644,0.971534,1,0.960598,0.979903,1,-0.015954,-0.008369,0
182,0.964768,0.982068,1,0.963804,0.981568,1,0.000964,0.0005,0
183,0.953561,0.976229,1,0.960026,0.979605,1,-0.006465,-0.003376,0
184,0.920701,0.958713,1,0.934053,0.965902,1,-0.013352,-0.007189,0
185,0.97619,0.987952,1,0.981541,0.990684,1,-0.005351,-0.002732,0
186,0.975588,0.987643,1,0.975652,0.987676,1,-0.000064,-0.000033,0
187,0.976835,0.988282,1,0.968425,0.983959,1,0.00841,0.004323,0
188,0.970418,0.984987,1,0.975326,0.987509,1,-0.004908,-0.002522,0
189,0.976075,0.987893,1,0.971895,0.985747,1,0.00418,0.002146,0
190,0.942496,0.970397,1,0.962753,0.981023,1,-0.020257,-0.010626,0
191,0.959359,0.979258,1,0.976143,0.987928,1,-0.016784,-0.00867,0
192,0.985485,0.992689,1,0.978423,0.989094,1,0.007062,0.003595,0
193,0.928457,0.962901,0.993958,0.947495,0.97304,1,-0.019038,-0.010139,-0.006042
194,0.959158,0.979153,1,0.955383,0.977183,1,0.003775,0.00197,0
195,0.955411,0.977197,1,0.950617,0.974684,1,0.004794,0.002513,0
196,0.967667,0.983568,1,0.962233,0.980753,1,0.005434,0.002815,0
197,0.950045,0.974383,1,0.958481,0.9788,1,-0.008436,-0.004417,0
198,0.964045,0.981693,1,0.955425,0.977205,1,0.00862,0.004488,0
199,0.969729,0.984632,1,0.975242,0.987466,1,-0.005513,-0.002834,0
200,0.964663,0.982014,1,0.960928,0.980075,1,0.003735,0.001939,0
201,0.969983,0.984763,1,0.980148,0.989975,1,-0.010165,-0.005212,0
202,0.887427,0.940357,0.871963,0.871019,0.931064,0.832958,0.016408,0.009293,0.039005
203,0.933307,0.965503,0.993974,0,0,0,0.933307,0.965503,0.993974
204,0.972014,0.985808,1,0.973478,0.986561,1,-0.001464,-0.000753,0
205,0.945923,0.97221,1,0.943955,0.97117,1,0.001968,0.00104,0
206,0.942899,0.97061,1,0.95941,0.979284,1,-0.016511,-0.008674,0
207,0.955433,0.977208,1,0.970569,0.985065,1,-0.015136,-0.007857,0
208,0.962396,0.980838,1,0.973363,0.986502,1,-0.010967,-0.005664,0
209,0.946844,0.972696,1,0.964072,0.981707,1,-0.017228,-0.009011,0
210,0.952237,0.975534,1,0,0,0,0.952237,0.975534,1
211,0.945244,0.971851,1,0,0,0,0.945244,0.971851,1
212,0.927254,0.962254,1,0.973292,0.986465,1,-0.046038,-0.024211,0
213,0.950406,0.974572,1,0.964072,0.981707,1,-0.013666,-0.007135,0
214,0.921098,0.958929,0.921348,0.930727,0.964121,0.916261,-0.009629,-0.005192,0.005087
215,0.956352,0.977689,1,0.970714,0.98514,1,-0.014362,-0.007451,0
216,0.951066,0.974919,1,0.952684,0.975769,1,-0.001618,-0.00085,0
217,0.9477,0.973148,1,0.970426,0.984991,1,-0.022726,-0.011843,0
218,0.967201,0.983327,1,0.972183,0.985895,1,-0.004982,-0.002568,0
