image_id,proposed_iou,proposed_dice,proposed_bf_score,diff_id_iou,diff_id_dice,diff_id_bf_score,diff_iou,diff_dice,diff_bf_score
355,0.921951,0.959391,0.869903,0.947629,0.97311,1,-0.025678,-0.013719,-0.130097
356,0.955508,0.977248,0.939522,0.96316,0.981234,1,-0.007652,-0.003986,-0.060478
357,0.945823,0.972157,1,0,0,0,0.945823,0.972157,1
358,0.934816,0.96631,0.989442,0.980738,0.990275,1,-0.045922,-0.023965,-0.010558
359,0.912216,0.954093,0.809756,0.904457,0.949832,0.763614,0.007759,0.004261,0.046142
360,0.956067,0.97754,1,0.971218,0.985399,1,-0.015151,-0.007859,0
361,0.942671,0.97049,1,0.969909,0.984725,1,-0.027238,-0.014235,0
362,0.961806,0.980531,1,0,0,0,0.961806,0.980531,1
363,0.843459,0.915083,0.60795,0,0,0,0.843459,0.915083,0.60795
364,0.961262,0.980249,1,0.977572,0.988659,1,-0.01631,-0.00841,0
365,0.960805,0.980011,1,0.965703,0.982553,1,-0.004898,-0.002542,0
366,0.965067,0.982223,0.980653,0.964922,0.982148,1,0.000145,0.000075,-0.019347
367,0.961604,0.980426,1,0.925492,0.961304,0.934124,0.036112,0.019122,0.065876
368,0.965271,0.982329,1,0.977815,0.988783,1,-0.012544,-0.006454,0
369,0.963779,0.981555,1,0,0,0,0.963779,0.981555,1
370,0.931188,0.964368,0.880638,0,0,0,0.931188,0.964368,0.880638
371,0.972587,0.986103,1,0.960556,0.979881,1,0.012031,0.006222,0
372,0.946716,0.972629,1,0,0,0,0.946716,0.972629,1
373,0.938968,0.968524,0.900374,0.923219,0.960077,0.927507,0.015749,0.008447,-0.027133
374,0.838902,0.912395,0.602705,0,0,0,0.838902,0.912395,0.602705
375,0.973567,0.986607,1,0.968444,0.983969,1,0.005123,0.002638,0
376,0.959145,0.979147,1,0.97723,0.988484,1,-0.018085,-0.009337,0
377,0.828947,0.906475,0.682855,0.946632,0.972584,1,-0.117685,-0.066109,-0.317145
378,0.929255,0.96333,0.900521,0.947552,0.97307,1,-0.018297,-0.00974,-0.099479
379,0.905889,0.950621,0.802108,0.930776,0.964147,0.811809,-0.024887,-0.013526,-0.009701
380,0.966737,0.983087,1,0.971376,0.98548,1,-0.004639,-0.002393,0
381,0.978099,0.988928,1,0,0,0,0.978099,0.988928,1
382,0.45094,0.621583,0.16745,0,0,0,0.45094,0.621583,0.16745
383,0.949283,0.973982,1,0.927298,0.962278,0.910249,0.021985,0.011704,0.089751
384,0.933931,0.965837,0.906157,0.968662,0.984081,1,-0.034731,-0.018244,-0.093843
385,0.925678,0.961405,0.988636,0.945262,0.971861,1,-0.019584,-0.010456,-0.011364
386,0.960359,0.979779,0.997555,0.983633,0.991749,1,-0.023274,-0.01197,-0.002445
387,0.952183,0.975506,1,0.970027,0.984786,1,-0.017844,-0.00928,0
388,0.967594,0.98353,1,0.97637,0.988044,1,-0.008776,-0.004514,0
389,0.936599,0.967262,0.973503,0,0,0,0.936599,0.967262,0.973503
390,0.953637,0.976268,1,0.965608,0.982503,1,-0.011971,-0.006235,0
391,0.773617,0.872361,0.519651,0.850573,0.919253,0.660917,-0.076956,-0.046892,-0.141266
392,0.961385,0.980312,1,0.979805,0.989799,1,-0.01842,-0.009487,0
393,0.925741,0.961438,0.926829,0.939932,0.969036,1,-0.014191,-0.007598,-0.073171
394,0.957083,0.978071,1,0.971713,0.985653,1,-0.01463,-0.007582,0
395,0.927955,0.962631,0.950969,0.956685,0.977863,1,-0.02873,-0.015232,-0.049031
396,0.930688,0.9641,1,0.971493,0.98554,1,-0.040805,-0.02144,0
397,0.946221,0.972367,1,0,0,0,0.946221,0.972367,1
398,0.958539,0.978831,1,0.960578,0.979893,1,-0.002039,-0.001062,0
399,0.957619,0.978351,0.985714,0.975181,0.987435,1,-0.017562,-0.009084,-0.014286
400,0.947322,0.972948,1,0.974133,0.986897,1,-0.026811,-0.013949,0
401,0.929365,0.963389,0.904923,0.957572,0.978326,0.997361,-0.028207,-0.014937,-0.092438
402,0.923094,0.960009,0.810648,0.932975,0.965325,0.968928,-0.009881,-0.005316,-0.15828
403,0.938242,0.968137,0.846626,0.96042,0.97981,0.990867,-0.022178,-0.011673,-0.144241
404,0,0,0,0.6079,0.756142,0.248027,-0.6079,-0.756142,-0.248027
405,0.957041,0.978049,1,0,0,0,0.957041,0.978049,1
406,0.939911,0.969025,0.983378,0.976538,0.988129,1,-0.036627,-0.019104,-0.016622
407,0.9626,0.980944,1,0.975814,0.987759,1,-0.013214,-0.006815,0
408,0.871841,0.931533,0.709464,0,0,0,0.871841,0.931533,0.709464
409,0.941992,0.97013,0.984226,0.972718,0.986171,1,-0.030726,-0.016041,-0.015774
410,0.95145,0.975121,1,0.978427,0.989096,1,-0.026977,-0.013975,0
411,0.911904,0.953922,0.743788,0.966323,0.982873,1,-0.054419,-0.028951,-0.256212
412,0.929194,0.963298,0.947536,0.968377,0.983934,1,-0.039183,-0.020636,-0.052464
413,0.944947,0.971694,0.990338,0.953494,0.976194,1,-0.008547,-0.0045,-0.009662
414,0.939063,0.968574,1,0.976397,0.988057,1,-0.037334,-0.019483,0
415,0.947911,0.973259,0.985838,0.975173,0.98743,1,-0.027262,-0.014171,-0.014162
416,0.896927,0.945663,0.768174,0,0,0,0.896927,0.945663,0.768174
417,0.966164,0.982791,0.997389,0.961598,0.980423,1,0.004566,0.002368,-0.002611
418,0.963731,0.98153,1,0.97803,0.988893,1,-0.014299,-0.007363,0
419,0.903657,0.949391,0.848233,0.95962,0.979394,1,-0.055963,-0.030003,-0.151767
420,0.959651,0.97941,1,0,0,0,0.959651,0.97941,1
421,0.92887,0.963124,1,0.932379,0.965006,1,-0.003509,-0.001882,0
422,0.928487,0.962917,0.89694,0.956771,0.977908,0.995305,-0.028284,-0.014991,-0.098365
423,0.919718,0.95818,0.962537,0.910635,0.953227,0.827624,0.009083,0.004953,0.134913
424,0.969666,0.984599,1,0,0,0,0.969666,0.984599,1
425,0.923615,0.960291,0.888302,0.924812,0.960938,0.941859,-0.001197,-0.000647,-0.053557
426,0.918319,0.957421,0.994909,0,0,0,0.918319,0.957421,0.994909
427,0.955013,0.976989,1,0.967277,0.983366,1,-0.012264,-0.006377,0
428,0.937899,0.967954,1,0.958929,0.979034,1,-0.02103,-0.01108,0
429,0.933978,0.965862,0.961038,0.966455,0.982941,0.995652,-0.032477,-0.017079,-0.034614
430,0.953697,0.9763,1,0.961991,0.980627,1,-0.008294,-0.004327,0
431,0.97073,0.985148,1,0.962206,0.980739,1,0.008524,0.004409,0
432,0.804866,0.891884,0.38268,0.842744,0.914662,0.527799,-0.037878,-0.022778,-0.145119
433,0.958307,0.97871,0.973473,0.967391,0.983425,1,-0.009084,-0.004715,-0.026527
434,0.878726,0.935449,0.765081,0,0,0,0.878726,0.935449,0.765081
435,0.898108,0.946319,0.829032,0.937408,0.967693,1,-0.0393,-0.021374,-0.170968
436,0.960746,0.97998,1,0.976638,0.988181,1,-0.015892,-0.008201,0
437,0.908761,0.9522,0.858633,0,0,0,0.908761,0.9522,0.858633
438,0.860924,0.925265,0.722968,0.932553,0.965099,1,-0.071629,-0.039834,-0.277032
439,0.962382,0.98083,1,0.976837,0.988283,1,-0.014455,-0.007453,0
440,0.950201,0.974465,1,0.950204,0.974466,1,-0.000003,-0.000001,0
441,0.954974,0.976968,1,0.943644,0.971005,1,0.01133,0.005963,0
442,0.960533,0.979869,1,0.958711,0.97892,1,0.001822,0.000949,0
443,0.905878,0.950615,0.827327,0.961198,0.980215,1,-0.05532,-0.0296,-0.172673
444,0.937332,0.967653,0.934003,0.944558,0.971489,1,-0.007226,-0.003836,-0.065997
445,0.914527,0.955356,1,0.91656,0.956463,0.983826,-0.002033,-0.001107,0.016174
446,0.921141,0.958952,0.859379,0.94111,0.969662,0.941963,-0.019969,-0.01071,-0.082584
447,0.935237,0.966535,0.966824,0.944572,0.971496,0.995283,-0.009335,-0.004961,-0.028459
448,0.959086,0.979116,1,0.982737,0.991293,1,-0.023651,-0.012177,0
449,0.976959,0.988345,1,0.966246,0.982833,0.981352,0.010713,0.005512,0.018648
450,0.95582,0.977411,1,0.975371,0.987532,1,-0.019551,-0.010121,0
451,0.974981,0.987332,1,0.959429,0.979294,1,0.015552,0.008038,0
452,0.973698,0.986674,1,0.964634,0.981998,1,0.009064,0.004676,0
453,0.918252,0.957384,0.940437,0.941635,0.96994,1,-0.023383,-0.012556,-0.059563
454,0.952876,0.975869,1,0.964414,0.981885,1,-0.011538,-0.006016,0
455,0.948511,0.973575,1,0.974163,0.986912,1,-0.025652,-0.013337,0
456,0.969965,0.984753,1,0,0,0,0.969965,0.984753,1
457,0.952126,0.975476,0.950318,0.959261,0.979207,1,-0.007135,-0.003731,-0.049682
458,0.961527,0.980386,1,0.950579,0.974663,0.989361,0.010948,0.005723,0.010639
459,0.913801,0.954959,0.883239,0,0,0,0.913801,0.954959,0.883239
460,0.954436,0.976687,1,0.953586,0.976242,1,0.00085,0.000445,0
461,0.926244,0.96171,0.850445,0.939321,0.968711,1,-0.013077,-0.007001,-0.149555
462,0.963744,0.981537,1,0.946609,0.972572,1,0.017135,0.008965,0
463,0.938569,0.968311,1,0.945766,0.972127,0.977525,-0.007197,-0.003816,0.022475
464,0.942774,0.970544,1,0.957011,0.978033,0.984962,-0.014237,-0.007489,0.015038
465,0.966733,0.983085,1,0.938132,0.968079,1,0.028601,0.015006,0
466,0.907459,0.951485,0.77665,0.955304,0.977141,1,-0.047845,-0.025656,-0.22335
467,0.952162,0.975495,1,0.963584,0.981455,1,-0.011422,-0.00596,0
468,0.882391,0.937521,0.741421,0.950544,0.974645,1,-0.068153,-0.037124,-0.258579
469,0.962014,0.980639,1,0.964151,0.981749,1,-0.002137,-0.00111,0
470,0.93774,0.96787,0.875336,0.940335,0.96925,0.859623,-0.002595,-0.00138,0.015713
471,0.935006,0.966411,0.965035,0.96059,0.979899,1,-0.025584,-0.013488,-0.034965
472,0.913793,0.954955,0.810345,0.904046,0.949605,0.778786,0.009747,0.00535,0.031559
473,0.871529,0.931355,0.863147,0,0,0,0.871529,0.931355,0.863147
474,0.937757,0.967879,1,0.972973,0.986301,1,-0.035216,-0.018422,0
475,0.96858,0.984039,1,0,0,0,0.96858,0.984039,1
476,0.934365,0.966069,0.932999,0,0,0,0.934365,0.966069,0.932999
477,0.920946,0.958846,0.787087,0.944717,0.971573,0.868182,-0.023771,-0.012727,-0.081095
478,0.925577,0.961351,0.947017,0.95703,0.978043,0.986813,-0.031453,-0.016692,-0.039796
479,0.97058,0.98507,1,0,0,0,0.97058,0.98507,1
480,1,1,1,1,1,1,0,0,0
481,1,1,1,1,1,1,0,0,0
482,1,1,1,1,1,1,0,0,0
483,1,1,1,1,1,1,0,0,0
484,1,1,1,1,1,1,0,0,0
485,1,1,1,1,1,1,0,0,0
486,1,1,1,1,1,1,0,0,0
487,1,1,1,1,1,1,0,0,0
488,1,1,1,1,1,1,0,0,0
489,1,1,1,1,1,1,0,0,0
490,1,1,1,1,1,1,0,0,0
491,1,1,1,1,1,1,0,0,0
492,1,1,1,1,1,1,0,0,0
493,1,1,1,1,1,1,0,0,0
494,1,1,1,1,1,1,0,0,0
495,1,1,1,1,1,1,0,0,0
496,1,1,1,1,1,1,0,0,0
497,1,1,1,1,1,1,0,0,0
498,1,1,1,1,1,1,0,0,0
499,1,1,1,1,1,1,0,0,0
500,1,1,1,1,1,1,0,0,0
501,1,1,1,1,1,1,0,0,0
502,1,1,1,1,1,1,0,0,0
503,1,1,1,1,1,1,0,0,0
504,1,1,1,1,1,1,0,0,0
505,1,1,1,1,1,1,0,0,0
506,1,1,1,1,1,1,0,0,0
507,1,1,1,1,1,1,0,0,0
508,1,1,1,1,1,1,0,0,0
509,1,1,1,1,1,1,0,0,0
510,1,1,1,1,1,1,0,0,0
511,1,1,1,1,1,1,0,0,0
512,1,1,1,1,1,1,0,0,0
513,1,1,1,1,1,1,0,0,0
514,1,1,1,1,1,1,0,0,0
515,1,1,1,1,1,1,0,0,0
516,1,1,1,1,1,1,0,0,0
517,1,1,1,1,1,1,0,0,0
518,1,1,1,1,1,1,0,0,0
519,1,1,1,1,1,1,0,0,0
520,1,1,1,1,1,1,0,0,0
521,1,1,1,1,1,1,0,0,0
522,1,1,1,1,1,1,0,0,0
523,1,1,1,1,1,1,0,0,0
524,1,1,1,1,1,1,0,0,0
525,1,1,1,1,1,1,0,0,0
526,1,1,1,1,1,1,0,0,0
527,1,1,1,1,1,1,0,0,0
528,1,1,1,1,1,1,0,0,0
529,1,1,1,1,1,1,0,0,0
530,1,1,1,1,1,1,0,0,0
531,1,1,1,1,1,1,0,0,0
532,1,1,1,1,1,1,0,0,0
533,1,1,1,1,1,1,0,0,0
534,1,1,1,1,1,1,0,0,0
535,1,1,1,1,1,1,0,0,0
536,1,1,1,1,1,1,0,0,0
537,1,1,1,1,1,1,0,0,0
538,1,1,1,1,1,1,0,0,0
539,1,1,1,1,1,1,0,0,0
540,1,1,1,1,1,1,0,0,0
541,1,1,1,1,1,1,0,0,0
542,1,1,1,1,1,1,0,0,0
543,1,1,1,1,1,1,0,0,0
544,1,1,1,1,1,1,0,0,0
545,1,1,1,1,1,1,0,0,0
546,1,1,1,1,1,1,0,0,0
547,1,1,1,1,1,1,0,0,0
548,1,1,1,1,1,1,0,0,0
549,1,1,1,1,1,1,0,0,0
550,1,1,1,1,1,1,0,0,0
551,1,1,1,1,1,1,0,0,0
552,1,1,1,1,1,1,0,0,0
553,1,1,1,1,1,1,0,0,0
554,1,1,1,1,1,1,0,0,0
555,1,1,1,1,1,1,0,0,0
556,1,1,1,1,1,1,0,0,0
557,1,1,1,1,1,1,0,0,0
558,1,1,1,1,1,1,0,0,0
559,1,1,1,1,1,1,0,0,0
560,1,1,1,1,1,1,0,0,0
561,1,1,1,1,1,1,0,0,0
562,1,1,1,1,1,1,0,0,0
563,1,1,1,1,1,1,0,0,0
564,1,1,1,1,1,1,0,0,0
565,1,1,1,1,1,1,0,0,0
566,1,1,1,1,1,1,0,0,0
567,1,1,1,1,1,1,0,0,0
568,1,1,1,1,1,1,0,0,0
569,1,1,1,1,1,1,0,0,0
570,1,1,1,1,1,1,0,0,0
571,1,1,1,1,1,1,0,0,0
572,1,1,1,1,1,1,0,0,0
573,1,1,1,1,1,1,0,0,0
574,1,1,1,1,1,1,0,0,0
575,1,1,1,1,1,1,0,0,0
576,1,1,1,1,1,1,0,0,0
577,1,1,1,1,1,1,0,0,0
578,1,1,1,1,1,1,0,0,0
579,1,1,1,1,1,1,0,0,0
580,1,1,1,1,1,1,0,0,0
581,1,1,1,1,1,1,0,0,0
582,1,1,1,1,1,1,0,0,0
583,1,1,1,1,1,1,0,0,0
584,1,1,1,1,1,1,0,0,0
585,1,1,1,1,1,1,0,0,0
586,1,1,1,1,1,1,0,0,0
587,1,1,1,1,1,1,0,0,0
588,1,1,1,1,1,1,0,0,0
589,1,1,1,1,1,1,0,0,0
590,1,1,1,1,1,1,0,0,0
591,1,1,1,1,1,1,0,0,0
592,1,1,1,1,1,1,0,0,0
593,1,1,1,1,1,1,0,0,0
594,1,1,1,1,1,1,0,0,0
595,1,1,1,1,1,1,0,0,0
596,1,1,1,1,1,1,0,0,0
597,1,1,1,1,1,1,0,0,0
598,1,1,1,1,1,1,0,0,0
599,1,1,1,1,1,1,0,0,0
600,1,1,1,1,1,1,0,0,0
601,1,1,1,1,1,1,0,0,0
602,1,1,1,1,1,1,0,0,0
603,1,1,1,1,1,1,0,0,0
604,1,1,1,1,1,1,0,0,0
605,1,1,1,1,1,1,0,0,0
606,1,1,1,1,1,1,0,0,0
607,1,1,1,1,1,1,0,0,0
608,1,1,1,1,1,1,0,0,0
609,1,1,1,1,1,1,0,0,0
610,1,1,1,1,1,1,0,0,0
611,1,1,1,1,1,1,0,0,0
612,1,1,1,1,1,1,0,0,0
613,1,1,1,1,1,1,0,0,0
614,1,1,1,1,1,1,0,0,0
615,1,1,1,1,1,1,0,0,0
616,1,1,1,1,1,1,0,0,0
617,1,1,1,1,1,1,0,0,0
618,1,1,1,1,1,1,0,0,0
619,1,1,1,1,1,1,0,0,0
620,1,1,1,1,1,1,0,0,0
621,1,1,1,1,1,1,0,0,0
622,1,1,1,1,1,1,0,0,0
623,1,1,1,1,1,1,0,0,0
624,1,1,1,1,1,1,0,0,0
625,1,1,1,1,1,1,0,0,0
626,1,1,1,1,1,1,0,0,0
627,1,1,1,1,1,1,0,0,0
628,1,1,1,1,1,1,0,0,0
629,1,1,1,1,1,1,0,0,0
630,1,1,1,1,1,1,0,0,0
631,1,1,1,1,1,1,0,0,0
632,1,1,1,1,1,1,0,0,0
633,1,1,1,1,1,1,0,0,0
634,1,1,1,1,1,1,0,0,0
635,1,1,1,1,1,1,0,0,0
636,1,1,1,1,1,1,0,0,0
637,1,1,1,1,1,1,0,0,0
638,1,1,1,1,1,1,0,0,0
639,1,1,1,1,1,1,0,0,0
640,1,1,1,1,1,1,0,0,0
641,1,1,1,1,1,1,0,0,0
642,1,1,1,1,1,1,0,0,0
643,1,1,1,1,1,1,0,0,0
644,1,1,1,1,1,1,0,0,0
645,1,1,1,1,1,1,0,0,0
646,1,1,1,1,1,1,0,0,0
647,1,1,1,1,1,1,0,0,0
648,1,1,1,1,1,1,0,0,0
649,1,1,1,1,1,1,0,0,0
650,1,1,1,1,1,1,0,0,0
651,1,1,1,1,1,1,0,0,0
652,1,1,1,1,1,1,0,0,0
653,1,1,1,1,1,1,0,0,0
654,1,1,1,1,1,1,0,0,0
655,1,1,1,1,1,1,0,0,0
656,1,1,1,1,1,1,0,0,0
657,1,1,1,1,1,1,0,0,0
658,1,1,1,1,1,1,0,0,0
659,1,1,1,1,1,1,0,0,0
660,1,1,1,1,1,1,0,0,0
661,1,1,1,1,1,1,0,0,0
662,1,1,1,1,1,1,0,0,0
663,1,1,1,1,1,1,0,0,0
664,1,1,1,1,1,1,0,0,0
665,1,1,1,1,1,1,0,0,0
666,1,1,1,1,1,1,0,0,0
667,1,1,1,1,1,1,0,0,0
668,1,1,1,1,1,1,0,0,0
669,1,1,1,1,1,1,0,0,0
670,1,1,1,1,1,1,0,0,0
671,1,1,1,1,1,1,0,0,0
672,1,1,1,1,1,1,0,0,0
673,1,1,1,1,1,1,0,0,0
674,1,1,1,1,1,1,0,0,0
675,1,1,1,1,1,1,0,0,0
676,1,1,1,1,1,1,0,0,0
677,1,1,1,1,1,1,0,0,0
678,1,1,1,1,1,1,0,0,0
679,1,1,1,1,1,1,0,0,0
680,1,1,1,1,1,1,0,0,0
681,1,1,1,1,1,1,0,0,0
682,1,1,1,1,1,1,0,0,0
683,1,1,1,1,1,1,0,0,0
