image_id,proposed_iou,proposed_dice,proposed_bf_score,xceptionnet_iou,xceptionnet_dice,xceptionnet_bf_score,diff_iou,diff_dice,diff_bf_score
162,0.960312,0.979754,1,0.91655,0.956458,0.910274,0.043762,0.023296,0.089726
163,0.940945,0.969574,1,0.876195,0.934013,0.84814,0.06475,0.035561,0.15186
164,0.772499,0.87165,0.289809,0.722977,0.839219,0.24557,0.049522,0.032431,0.044239
165,0.978723,0.989247,1,0.950562,0.974654,1,0.028161,0.014593,0
166,0.95341,0.97615,1,0.912489,0.954242,0.886542,0.040921,0.021908,0.113458
167,0.970331,0.984942,1,0.920341,0.958518,1,0.04999,0.026424,0
168,0.930726,0.96412,1,0.936782,0.967359,1,-0.006056,-0.003239,0
169,0.968291,0.98389,1,0.924579,0.960812,0.980744,0.043712,0.023078,0.019256
170,0.95509,0.977029,1,0.883491,0.938142,0.904055,0.071599,0.038887,0.095945
171,0.97378,0.986716,1,0.944546,0.971482,1,0.029234,0.015234,0
172,0.926012,0.961585,1,0.935529,0.966691,0.983187,-0.009517,-0.005106,0.016813
173,0.934062,0.965907,0.886427,0.920474,0.95859,0.972188,0.013588,0.007317,-0.085761
174,0.932558,0.965102,0.994117,0.928433,0.962889,0.920607,0.004125,0.002213,0.07351
175,0.944003,0.971195,0.956489,0.91012,0.952945,0.916005,0.033883,0.01825,0.040484
176,0.932642,0.965147,1,0.938204,0.968117,1,-0.005562,-0.00297,0
177,0.918705,0.95763,0.961845,0.884839,0.938901,0.877512,0.033866,0.018729,0.084333
178,0.937332,0.967652,1,0.935471,0.96666,0.994134,0.001861,0.000992,0.005866
179,0.923919,0.960455,1,0.707388,0.82862,0.48,0.216531,0.131835,0.52
180,0.964363,0.981858,1,0.905831,0.950589,1,0.058532,0.031269,0
181,0.944644,0.971534,1,0.946906,0.972729,1,-0.002262,-0.001195,0
182,0.964768,0.982068,1,0.933728,0.965728,0.937924,0.03104,0.01634,0.062076
183,0.953561,0.976229,1,0.919899,0.958279,0.978315,0.033662,0.01795,0.021685
184,0.920701,0.958713,1,0.897345,0.945896,0.881163,0.023356,0.012817,0.118837
185,0.97619,0.987952,1,0.944771,0.971601,1,0.031419,0.016351,0
186,0.975588,0.987643,1,0.929759,0.963601,0.96319,0.045829,0.024042,0.03681
187,0.976835,0.988282,1,0.922029,0.959433,0.952897,0.054806,0.028849,0.047103
188,0.970418,0.984987,1,0.958291,0.978701,1,0.012127,0.006286,0
189,0.976075,0.987893,1,0.947694,0.973145,0.994382,0.028381,0.014748,0.005618
190,0.942496,0.970397,1,0.928481,0.962914,1,0.014015,0.007483,0
191,0.959359,0.979258,1,0.945024,0.971735,1,0.014335,0.007523,0
192,0.985485,0.992689,1,0.922864,0.959885,1,0.062621,0.032804,0
193,0.928457,0.962901,0.993958,0.952106,0.975465,1,-0.023649,-0.012564,-0.006042
194,0.959158,0.979153,1,0.958224,0.978666,1,0.000934,0.000487,0
195,0.955411,0.977197,1,0.871964,0.931603,0.762534,0.083447,0.045594,0.237466
196,0.967667,0.983568,1,0.962902,0.9811,1,0.004765,0.002468,0
197,0.950045,0.974383,1,0.719496,0.836869,0.415421,0.230549,0.137514,0.584579
198,0.964045,0.981693,1,0.898335,0.946445,0.980951,0.06571,0.035248,0.019049
199,0.969729,0.984632,1,0.938754,0.96841,1,0.030975,0.016222,0
200,0.964663,0.982014,1,0.916121,0.956225,0.926519,0.048542,0.025789,0.073481
201,0.969983,0.984763,1,0.937564,0.967776,1,0.032419,0.016987,0
202,0.887427,0.940357,0.871963,0.881529,0.937035,0.723633,0.005898,0.003322,0.14833
203,0.933307,0.965503,0.993974,0.949583,0.97414,1,-0.016276,-0.008637,-0.006026
204,0.972014,0.985808,1,0.90735,0.951425,0.988821,0.064664,0.034383,0.011179
205,0.945923,0.97221,1,0.908903,0.952278,0.94691,0.03702,0.019932,0.05309
206,0.942899,0.97061,1,0.914039,0.955089,0.929653,0.02886,0.015521,0.070347
207,0.955433,0.977208,1,0.871795,0.931507,0.682218,0.083638,0.045701,0.317782
208,0.962396,0.980838,1,0.94011,0.969131,0.983999,0.022286,0.011707,0.016001
209,0.946844,0.972696,1,0.940728,0.969459,0.983648,0.006116,0.003237,0.016352
210,0.952237,0.975534,1,0.9375,0.967742,1,0.014737,0.007792,0
211,0.945244,0.971851,1,0.945235,0.971846,1,0.000009,0.000005,0
212,0.927254,0.962254,1,0.961777,0.980516,1,-0.034523,-0.018262,0
213,0.950406,0.974572,1,0.909617,0.95267,0.980951,0.040789,0.021902,0.019049
214,0.921098,0.958929,0.921348,0.885724,0.939399,0.790939,0.035374,0.01953,0.130409
215,0.956352,0.977689,1,0.915315,0.955786,0.968349,0.041037,0.021903,0.031651
216,0.951066,0.974919,1,0.957637,0.97836,1,-0.006571,-0.003441,0
217,0.9477,0.973148,1,0.795652,0.886199,0.507463,0.152048,0.086949,0.492537
218,0.967201,0.983327,1,0.924561,0.960802,0.926728,0.04264,0.022525,0.073272
219,0.969111,0.984313,1,0.948925,0.973793,1,0.020186,0.01052,0
220,0.9375,0.967742,1,0.96336,0.981338,1,-0.02586,-0.013596,0
221,0.974325,0.986995,1,0.958742,0.978936,1,0.015583,0.008059,0
222,0.946298,0.972408,1,0.934919,0.966365,0.989388,0.011379,0.006043,0.010612
223,0.849234,0.918471,0.773192,0.770202,0.870185,0.51054,0.079032,0.048286,0.262652
224,0.892262,0.943064,0.972968,0.893617,0.94382,0.917604,-0.001355,-0.000756,0.055364
225,0.94974,0.974222,0.983423,0.967184,0.983318,1,-0.017444,-0.009096,-0.016577
226,0.952195,0.975512,1,0.956194,0.977606,1,-0.003999,-0.002094,0
227,0.939796,0.968963,0.964911,0.800303,0.889076,0.515337,0.139493,0.079887,0.449574
228,0.971634,0.985613,1,0.951672,0.975237,0.977142,0.019962,0.010376,0.022858
229,0.956989,0.978022,1,0.945319,0.971891,1,0.01167,0.006131,0
230,0.954311,0.976622,1,0.941339,0.969783,1,0.012972,0.006839,0
231,0.922958,0.959936,1,0.880711,0.936572,0.93842,0.042247,0.023364,0.06158
232,0.823289,0.903081,0.526986,0.817684,0.899699,0.630783,0.005605,0.003382,-0.103797
233,0.936451,0.967183,1,0.934075,0.965914,1,0.002376,0.001269,0
234,0.942847,0.970583,0.972314,0.949256,0.973967,1,-0.006409,-0.003384,-0.027686
235,0.936147,0.967021,0.988472,0.921128,0.958945,1,0.015019,0.008076,-0.011528
236,0.931914,0.964757,0.994565,0.892157,0.943005,0.804348,0.039757,0.021752,0.190217
237,0.950605,0.974677,1,0.908579,0.9521,0.957104,0.042026,0.022577,0.042896
238,0.965291,0.982339,1,0.959177,0.979163,1,0.006114,0.003176,0
239,0.966168,0.982793,1,0.953741,0.976323,1,0.012427,0.00647,0
240,0.961034,0.98013,1,0.883054,0.937896,0.777104,0.07798,0.042234,0.222896
241,0.931205,0.964377,1,0.901146,0.948003,0.894821,0.030059,0.016374,0.105179
242,0.958894,0.979015,1,0.897002,0.945705,0.909769,0.061892,0.03331,0.090231
243,0.970643,0.985103,1,0.966171,0.982794,1,0.004472,0.002309,0
244,0.942868,0.970594,1,0.863119,0.926531,0.789965,0.079749,0.044063,0.210035
245,0.954845,0.976901,0.994565,0.917148,0.956784,0.955043,0.037697,0.020117,0.039522
246,0.941075,0.969643,1,0.912908,0.954471,0.954929,0.028167,0.015172,0.045071
247,0.947104,0.972834,1,0.88475,0.938851,0.764079,0.062354,0.033983,0.235921
248,0.948548,0.973595,1,0.89936,0.947014,0.828125,0.049188,0.026581,0.171875
249,0.968315,0.983902,1,0.958695,0.978912,1,0.00962,0.00499,0
250,0.944444,0.971429,0.9882,0.937691,0.967844,1,0.006753,0.003585,-0.0118
251,0.972727,0.986175,1,0.922064,0.959452,0.983049,0.050663,0.026723,0.016951
252,0.930916,0.964222,0.88326,0.936123,0.967008,1,-0.005207,-0.002786,-0.11674
253,0.95904,0.979092,1,0.955579,0.977285,1,0.003461,0.001807,0
254,0.972332,0.985972,1,0.946559,0.972546,1,0.025773,0.013426,0
255,0.919263,0.957934,0.846992,0.907033,0.951251,0.920674,0.01223,0.006683,-0.073682
256,0.934506,0.966145,1,0.884205,0.938545,0.986524,0.050301,0.0276,0.013476
257,0.926355,0.96177,1,0.925125,0.961107,1,0.00123,0.000663,0
258,0.944444,0.971429,0.9882,0.865782,0.928063,0.752187,0.078662,0.043366,0.236013
259,0.975886,0.987796,1,0.917486,0.956968,0.949146,0.0584,0.030828,0.050854
260,0.939215,0.968655,1,0.936408,0.96716,1,0.002807,0.001495,0
261,0.94196,0.970113,1,0.828406,0.906151,0.635238,0.113554,0.063962,0.364762
262,0.935566,0.966711,0.884156,0.917677,0.957071,1,0.017889,0.00964,-0.115844
263,0.937393,0.967685,0.843905,0.92807,0.962693,0.926999,0.009323,0.004992,-0.083094
264,0.938478,0.968263,0.977077,0.917014,0.956711,0.962925,0.021464,0.011552,0.014152
265,0.900428,0.947605,0.855366,0.872572,0.93195,0.758327,0.027856,0.015655,0.097039
266,0.93889,0.968482,0.898964,0.949543,0.974118,1,-0.010653,-0.005636,-0.101036
267,0.925642,0.961385,1,0.912786,0.954405,0.901108,0.012856,0.00698,0.098892
268,0.961507,0.980376,1,0.907503,0.951509,0.933969,0.054004,0.028867,0.066031
269,0.942521,0.97041,0.994318,0.901536,0.948219,0.954504,0.040985,0.022191,0.039814
270,0.971429,0.985507,1,0.924443,0.960738,0.955284,0.046986,0.024769,0.044716
271,0.923921,0.960456,0.994318,0.884306,0.938601,0.88306,0.039615,0.021855,0.111258
272,0.939858,0.968997,1,0.939893,0.969015,1,-0.000035,-0.000018,0
273,0.981168,0.990494,1,0.900867,0.947849,1,0.080301,0.042645,0
274,0.965324,0.982356,1,0.961417,0.980329,1,0.003907,0.002027,0
275,0.930935,0.964232,0.924904,0.916448,0.956403,0.994595,0.014487,0.007829,-0.069691
276,0.971505,0.985547,1,0.963153,0.98123,0.983394,0.008352,0.004317,0.016606
277,0.920971,0.95886,0.874368,0.894798,0.944479,0.747581,0.026173,0.014381,0.126787
278,0.972989,0.986309,1,0.935569,0.966712,1,0.03742,0.019597,0
279,0.949167,0.973921,1,0.931019,0.964277,1,0.018148,0.009644,0
280,0.959846,0.979512,1,0.953768,0.976337,0.96817,0.006078,0.003175,0.03183
281,0.96576,0.982582,1,0.949379,0.974032,1,0.016381,0.00855,0
282,0.957367,0.978219,1,0.911293,0.953588,0.831095,0.046074,0.024631,0.168905
283,0.965949,0.982679,1,0.949223,0.97395,1,0.016726,0.008729,0
284,0.9681,0.983792,1,0.952245,0.975539,1,0.015855,0.008253,0
285,0.927795,0.962545,0.988764,0.923478,0.960217,0.966223,0.004317,0.002328,0.022541
286,0.966436,0.982932,1,0.943742,0.971057,1,0.022694,0.011875,0
287,0.932961,0.965318,0.980329,0.95595,0.977479,1,-0.022989,-0.012161,-0.019671
288,0.92751,0.962392,0.952858,0.867441,0.929016,0.593666,0.060069,0.033376,0.359192
289,0.961796,0.980526,0.967152,0.943851,0.971115,1,0.017945,0.009411,-0.032848
290,0.960199,0.979695,1,0.912763,0.954392,1,0.047436,0.025303,0
291,0.964124,0.981734,1,0.966019,0.982716,1,-0.001895,-0.000982,0
292,0.935272,0.966553,0.971831,0.937544,0.967765,0.948857,-0.002272,-0.001212,0.022974
293,0.981758,0.990795,1,0.957398,0.978235,1,0.02436,0.01256,0
294,0.929595,0.963513,1,0.973548,0.986597,1,-0.043953,-0.023084,0
295,0.93401,0.965879,1,0.951966,0.975392,1,-0.017956,-0.009513,0
296,0.942508,0.970403,0.99363,0.911326,0.953606,0.955696,0.031182,0.016797,0.037934
297,0.960563,0.979885,1,0.878301,0.935208,0.877518,0.082262,0.044677,0.122482
298,0.960926,0.980074,1,0.942029,0.970149,1,0.018897,0.009925,0
